"Name","Platform","Year","Genre","publisher","na_sales","eu_sales","jp_sales","other_sales","Global_Sales","critic_score","critic_count","user_score","user_count","developer","rating"
"Wii Sports","Wii","2006","Sports","Nintendo",41.36,28.96,3.77,8.45,82.53,76,51,8,322,"Nintendo","E"
"Super Mario Bros.","NES","1985","Platform","Nintendo",29.08,3.58,6.81,0.77,40.24,NA,NA,NA,NA,NA,NA
"Mario Kart Wii","Wii","2008","Racing","Nintendo",15.68,12.76,3.79,3.29,35.52,82,73,8.3,709,"Nintendo","E"
"Wii Sports Resort","Wii","2009","Sports","Nintendo",15.61,10.93,3.28,2.95,32.77,80,73,8,192,"Nintendo","E"
"Pokemon Red/Pokemon Blue","GB","1996","Role-Playing","Nintendo",11.27,8.89,10.22,1,31.37,NA,NA,NA,NA,NA,NA
"Tetris","GB","1989","Puzzle","Nintendo",23.2,2.26,4.22,0.58,30.26,NA,NA,NA,NA,NA,NA
"New Super Mario Bros.","DS","2006","Platform","Nintendo",11.28,9.14,6.5,2.88,29.8,89,65,8.5,431,"Nintendo","E"
"Wii Play","Wii","2006","Misc","Nintendo",13.96,9.18,2.93,2.84,28.92,58,41,6.6,129,"Nintendo","E"
"New Super Mario Bros. Wii","Wii","2009","Platform","Nintendo",14.44,6.94,4.7,2.24,28.32,87,80,8.4,594,"Nintendo","E"
"Duck Hunt","NES","1984","Shooter","Nintendo",26.93,0.63,0.28,0.47,28.31,NA,NA,NA,NA,NA,NA
